[admin.py:29] - 2023-08-18 10:27:17,961 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-18 10:27:17,962 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-18 10:27:18,140 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\ethan\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe', 'C:\\Users\\ethan\\Downloads\\Luna-Grabber-main (1)\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-08-18 10:27:18,142 - INFO - Running command 'C:\\Users\\ethan\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe' - '"C:\\Users\\ethan\\Downloads\\Luna-Grabber-main (1)\\Luna-Grabber-main\\builder.pyw"'
[admin.py:29] - 2023-08-18 10:27:22,269 - INFO - isUserAdmin - CheckTokenMembership returned: True
[admin.py:92] - 2023-08-18 10:27:22,860 - INFO - Process handle <PyHANDLE:1512> returned code 1
[admin.py:29] - 2023-08-18 10:28:44,190 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-18 10:28:44,191 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-18 10:28:44,205 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\ethan\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe', 'C:\\Users\\ethan\\Downloads\\Luna-Grabber-main (1)\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-08-18 10:28:44,206 - INFO - Running command 'C:\\Users\\ethan\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe' - '"C:\\Users\\ethan\\Downloads\\Luna-Grabber-main (1)\\Luna-Grabber-main\\builder.pyw"'
[admin.py:29] - 2023-08-18 10:28:47,618 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,589 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,590 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,590 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,591 - DEBUG - STREAM b'IHDR' 16 13
